id,vl_diff,cd_diff,vlogs_diff_mean,cds_diff_mean,n,payoffs,payoffs_b,nearest_payoff,classification_2,classification_3,classification_4,phen_1,str1_2,str1_3,str2_2,str2_3,str2_4,str2_5,str2_6,str2_7,batch_1,TB_1,GR_1
69,-0.19937624832227188,0.1675691405947756,0.01036795153766684,0.00431251384321148,79,-0.06114464603596008,-0.02161086612053097,-0.19402123090027823,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
70,-0.15358999213239571,0.5140604671163718,-0.18324088232080385,0.5866804711230271,32,0.14745355073475758,-0.02161086612053097,-0.16493423955187342,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
71,0.08037783688141521,0.1050651955821323,0.01036795153766684,0.00431251384321148,79,-0.09877390028478424,-0.02161086612053097,0.07369898968389911,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
72,0.14964506141662523,-0.13868476590967638,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.02161086612053097,0.14702791357213757,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
73,0.09263810778262002,0.3185631029031105,0.01036795153766684,0.00431251384321148,79,0.02975825931806819,0.10815716079208504,0.07369898968389911,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
74,0.11880895202065132,0.231644399370788,0.01036795153766684,0.00431251384321148,79,-0.02256941365576309,0.10815716079208504,0.14702791357213757,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
75,0.2523592475941613,-0.12419971583533236,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,0.10815716079208504,0.2541046223783886,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
76,0.49724785235969304,0.5699116285561336,0.9635617709601948,0.6173745398857842,18,0.1810776292386632,0.10815716079208504,0.5296704141131363,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
77,0.3353264052274656,-0.4484038185170994,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,0.10815716079208504,0.33029416687588603,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
78,-0.2084253581800946,0.2030126377872898,0.01036795153766684,0.00431251384321148,79,-0.03980659502086309,0.10815716079208504,-0.19402123090027823,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
79,-0.18770015757819825,0.4054443185475089,-0.18324088232080385,0.5866804711230271,32,0.0820633634561938,0.10815716079208504,-0.18289618750808784,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
80,0.05345200115643479,0.10089721451536374,0.01036795153766684,0.00431251384321148,79,-0.10128315020867294,0.10815716079208504,0.05154909197384914,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
81,0.01970739674603236,0.5888265658526344,-0.18324088232080385,0.5866804711230271,32,0.192464990220224,0.10815716079208504,0.01311936855647409,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82,-0.19821116216536133,0.04098767247885756,0.01036795153766684,0.00431251384321148,79,-0.13735049585807632,-0.04074944790194699,-0.19402123090027823,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
83,0.04514639644333586,0.07951703380252441,0.01036795153766684,0.00431251384321148,79,-0.11415466185112204,-0.04074944790194699,0.0404523035419638,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
84,0.1083470281233961,-0.06172813409738968,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.04074944790194699,0.07369898968389911,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
85,-0.41668888617289934,0.3347535080185199,-0.18324088232080385,0.5866804711230271,32,0.03950537000613705,-0.04074944790194699,-0.3439026780706041,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
86,-0.3146141881658386,0.5695565527395241,-0.18324088232080385,0.5866804711230271,32,0.18086386292074352,-0.04074944790194699,-0.3439026780706041,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
87,0.5414361031764724,0.47652647830556305,0.9635617709601948,0.6173745398857842,18,0.1248569609091274,-0.04074944790194699,0.5296704141131363,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
89,0.07349941640083713,0.10505082096117674,0.01036795153766684,0.00431251384321148,79,-0.09878255423881158,-0.04074944790194699,0.07369898968389911,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
91,-0.22758003200958027,0.08058240287894712,0.01036795153766684,0.00431251384321148,79,-0.11351327763389488,-0.04074944790194699,-0.19402123090027823,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
